State,Education - Mean,Income - Mean
Alabama Alaska Arizona Arkansas California Colorado Connecticut Delaware Florida Georgia Hawaii Idaho Illinois Indiana Iowa Kansas Kentucky Louisiana Maine Maryland Massachusetts Michigan Minnesota Mississippi Missouri Montana Nebraska Nevada New\ Hampshire New\ Jersey New\ Mexico New\ York North\ Carolina North\ Dakota Ohio Oklahoma Oregon Pennsylvania Rhode\ Island South\ Carolina South\ Dakota Tennesse Texas Utah Vermount Virginia Washington West\ Virginia Wisconsin Wyoming Puerto\ Rico,continuous,continuous
meta,,
Alabama,18.2542,59567.8
Alaska,18,46858.5
Arizona,18.6489,61733.8
Arkansas,17.6444,36289.3
California,18.4328,67054.7
Colorado,19.1857,65845.4
Connecticut,19.2642,62213
Delaware,17.4167,42441.7
Florida,18.4623,55136.6
Georgia,18.7153,51784.6
Hawaii,18.4375,57441.2
Idaho,18.2857,54854.6
Illinois,18.5144,56035.9
Indiana,17.7459,43678
Iowa,18.5902,41374.9
Kansas,18.1923,49088.5
Kentucky,18.5088,56865.4
Louisiana,17.831,43786.2
Maine,17.68,43700.8
Maryland,19.0847,68970.4
Massachusetts,18.8667,66288.4
Michigan,19.0286,58648.8
Minnesota,18.6024,49996.3
Mississippi,19.0625,48244.4
Missouri,18.2759,49519.7
Montana,17.5556,43392.2
Nebraska,19.3077,65822.8
Nevada,17.6809,64271.3
New Hampshire,19.08,53930.4
New Jersey,19.5373,65779.5
New Mexico,18.6389,53042.8
New York,18.7809,57213.5
North Carolina,18.3453,55175.7
North Dakota,18.7692,69274.6
Ohio,18.6989,55383.2
Oklahoma,18.0741,51611.1
Oregon,19.0484,72303.9
Pennsylvania,18.47,44225.8
Rhode Island,18.7368,45510.5
South Carolina,18.7333,52862.3
South Dakota,18.9444,32333.3
Tennesse,18.1058,42287.4
Texas,18.359,51628.4
Utah,18.4062,49597.8
Vermount,19.2857,30342.9
Virginia,19.3014,66205.7
Washington,19.4394,62529.3
West Virginia,18.4783,37514.8
Wisconsin,18.7549,52851.6
Wyoming,18.6154,53369.2
Puerto Rico,18.0769,24819.2
